case,policy,refinement,repetition,pass,points,attempts,rejects,solves,doubling,voltage_error,current_error,voltage_limit,current_limit,seconds
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,0,1,0,1,542,598,57,5382,598,2.0970255275453049e-06,2.1630415662228075e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.00324231
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,1,0,0,1,517,595,79,2679,149,2.4660083572070838e-06,2.4749649670478672e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.0018931969999999999
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,1,1,0,1,544,598,55,2646,142,2.0640827649320327e-06,2.1421018682533152e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.0018257589999999999
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,2,0,0,1,495,563,69,2499,135,2.5483029265117862e-06,2.5278639805035121e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.0017770360000000001
rlc_r0.5_a0.001_t9.9999999999999995e-07_b0,2,1,0,1,525,569,45,2481,129,2.1314187491840338e-06,2.1992714774285741e-06,7.0000000000000007e-06,5.0200000000000002e-06,0.0017215209999999999
rlc_r0.5_a1_t9.9999999999999995e-07_b0,0,0,0,1,652,799,148,7191,799,0.0019131658405742158,0.0020112964372204223,0.0050020000000000004,0.00500002,0.0042636490000000004
rlc_r0.5_a1_t9.9999999999999995e-07_b0,0,1,0,1,666,802,137,7218,802,0.0016656720659689039,0.0017396272664265133,0.0050020000000000004,0.00500002,0.004354302
rlc_r0.5_a1_t9.9999999999999995e-07_b0,1,0,0,1,656,796,141,3354,161,0.0018622244228603257,0.0019737302517635058,0.0050020000000000004,0.00500002,0.0023413280000000002
rlc_r0.5_a1_t9.9999999999999995e-07_b0,1,1,0,1,674,807,134,3387,161,0.0016376239736870524,0.0017214376515816143,0.0050020000000000004,0.00500002,0.0023388430000000002
rlc_r0.5_a1_t9.9999999999999995e-07_b0,2,0,0,1,607,707,101,3087,161,0.0019465000391971632,0.0020581146251378302,0.0050020000000000004,0.00500002,0.002151357
rlc_r0.5_a1_t9.9999999999999995e-07_b0,2,1,0,1,623,710,88,3018,148,0.0017090162911987949,0.0017815942304494903,0.0050020000000000004,0.00500002,0.002122643
rlc_r0.5_a1_t0.001_b400,0,0,0,1,652,799,148,7191,799,0.0019131662451883358,0.0020112969032872186,0.0050020000000000004,0.00500002,0.0042651329999999999
rlc_r0.5_a1_t0.001_b400,0,1,0,1,666,802,137,7218,802,0.001665672442726418,0.0017396276189403093,0.0050020000000000004,0.00500002,0.0043075919999999998
rlc_r0.5_a1_t0.001_b400,1,0,0,1,656,796,141,3354,161,0.0018622248532409458,0.0019737306736781202,0.0050020000000000004,0.00500002,0.0023245459999999998
rlc_r0.5_a1_t0.001_b400,1,1,0,1,674,807,134,3387,161,0.0016376243910087851,0.001721438065189429,0.0050020000000000004,0.00500002,0.0023535219999999998
rlc_r0.5_a1_t0.001_b400,2,0,0,1,607,707,101,3087,161,0.0019465000224414553,0.0020581152412942338,0.0050020000000000004,0.00500002,0.0021353370000000002
rlc_r0.5_a1_t0.001_b400,2,1,0,1,623,710,88,3018,148,0.0017090167752087382,0.0017815945572504654,0.0050020000000000004,0.00500002,0.002114136
rlc_r0.5_a100_t0.001_b0,0,0,0,1,686,826,141,7434,826,0.19115136872744642,0.20081774151415743,0.50000199999999995,0.50000001999999999,0.0044545829999999998
rlc_r0.5_a100_t0.001_b0,0,1,0,1,706,847,142,7623,847,0.16640130882299786,0.17400521393754786,0.50000199999999995,0.50000001999999999,0.0045217299999999998
rlc_r0.5_a100_t0.001_b0,1,0,0,1,687,835,149,3525,170,0.1863195414705956,0.19793981581020148,0.50000199999999995,0.50000001999999999,0.0024470590000000001
rlc_r0.5_a100_t0.001_b0,1,1,0,1,706,842,137,3534,168,0.16352903610246017,0.17197954513563474,0.50000199999999995,0.50000001999999999,0.0024517969999999999
rlc_r0.5_a100_t0.001_b0,2,0,0,1,640,743,104,3177,158,0.19454220058446481,0.20619806462830326,0.50000199999999995,0.50000001999999999,0.0021889890000000001
rlc_r0.5_a100_t0.001_b0,2,1,0,1,661,754,94,3192,155,0.17097205386070868,0.17822963396033487,0.50000199999999995,0.50000001999999999,0.0022817850000000001
rlc_r20_a0.001_t9.9999999999999995e-07_b0,0,0,0,1,351,383,33,3447,383,5.2853037512973905e-09,2.143332307165749e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.0020634099999999999
rlc_r20_a0.001_t9.9999999999999995e-07_b0,0,1,0,1,542,573,32,5157,573,2.5971912233105599e-09,2.1506265298772121e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.0030928660000000001
rlc_r20_a0.001_t9.9999999999999995e-07_b0,1,0,0,1,356,380,25,1554,69,1.3519737172991951e-08,1.839899384460848e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.00105839
rlc_r20_a0.001_t9.9999999999999995e-07_b0,1,1,0,1,546,571,26,2175,77,1.9353359926471171e-09,1.8963011096836111e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.001487616
rlc_r20_a0.001_t9.9999999999999995e-07_b0,2,0,0,1,356,381,26,1581,73,1.4198299642823129e-08,1.8972423630251559e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.0010831879999999999
rlc_r20_a0.001_t9.9999999999999995e-07_b0,2,1,0,1,546,571,26,2193,80,2.6735458359987072e-09,1.9536777327001605e-08,7.0000000000000007e-06,5.0200000000000002e-06,0.0015204179999999999
rlc_r20_a1_t9.9999999999999995e-07_b0,0,0,0,1,396,439,44,3951,439,4.1781825185216448e-06,1.9377624636982005e-05,0.0050020000000000004,0.00500002,0.002355134
rlc_r20_a1_t9.9999999999999995e-07_b0,0,1,0,1,587,627,41,5643,627,1.3662909706391169e-06,1.9344564937587294e-05,0.0050020000000000004,0.00500002,0.003391603
rlc_r20_a1_t9.9999999999999995e-07_b0,1,0,0,1,404,448,45,1854,85,9.3410699921192553e-06,1.7609918121358481e-05,0.0050020000000000004,0.00500002,0.001266847
rlc_r20_a1_t9.9999999999999995e-07_b0,1,1,0,1,594,637,44,2463,92,1.1407971624577407e-06,1.7500992896157808e-05,0.0050020000000000004,0.00500002,0.0017030459999999999
rlc_r20_a1_t9.9999999999999995e-07_b0,2,0,0,1,397,432,36,1794,83,5.6882398453139693e-06,1.7372027162079751e-05,0.0050020000000000004,0.00500002,0.00124233
rlc_r20_a1_t9.9999999999999995e-07_b0,2,1,0,1,586,622,37,2412,91,1.2355646047956803e-06,1.7534028284332814e-05,0.0050020000000000004,0.00500002,0.0016519079999999999
rlc_r20_a1_t0.001_b400,0,0,0,1,396,439,44,3951,439,4.195185198341278e-06,1.9377089477454201e-05,0.0050020000000000004,0.00500002,0.002359061
